PRN No.,DSA(CSE2001) CAT1 (50),DSA(CSE2001) CAT2 (50),DSA(CSE2001) FAT (60),DSA(CSE2001)Grade,DMS(MAT1003) CAT1 (50),DMS(MAT1003)CAT2 (50),DMS(MAT1003)FAT (60),FEEE(ECE1002)CAT1 (50),FEEE(ECE1002) CAT2 (50),FEEE(ECE1002) FAT (60),FEEE(ECE1002) Lab (40),FEEE(ECE1002) Total (200),FEEE(ECE1002)Grade,ED(MEC1004) CAT1 (50),ED(MEC1004)CAT2 (50),ED(MEC1004)FAT (60),ED(MEC1004)Lab (40),ED(MEC1004) Total (200),CG(CSE2006) CAT1 (50),CG(CSE2006)CAT2 (50),CG(CSE2006)FAT (60),CG(CSE2006) Total (160),CG(CSE2006) Grade,FSM(MGT1020)FAT (60),FSM(MGT1020) Lab (40),FSM(MGT1020)Grade,DAA(CSE3004) CAT1 (50),DAA(CSE3004)  CAT2 (50),DAA(CSE3004) FAT (60),DAA(CSE3004) Grade,LSM(MGT1002) CAT1 (50),LSM(MGT1002) CAT2 (50),LSM(MGT1002) FAT (60),LSM(MGT1002) Grade,ADDA(MAT1002) CAT1 (50),ADDA(MAT1002) CAT2 (50),ADDA(MAT1002) FAT (60),ADDA(MAT1002) Lab (40),ADDA(MAT1002) Total (200),CSDF(CSE2011) CAT1 (50),CSDF(CSE2011) CAT2 (50),CSDF(CSE2011) FAT (60),CSDF(CSE2011) Lab (40),CSDF(CSE2011) Total (200),CN(CSE3003) CAT1 (50),CN(CSE3003) CAT2 (50),CN(CSE3003) FAT (60),CN(CSE3003) Total (160),CN(CSE3003) Grade,OOP(CSE2005) FAT (60),OOP(CSE2005) Lab (40),OOP(CSE2005) Grade,OS(CSE2008) CAT1 (50),OS(CSE2008) CAT2 (50),OS(CSE2008) FAT (60),OS(CSE2008) Lab (40),OS(CSE2008) Total (200),OS(CSE2008) Grade,SE(CSE1005) CAT1 (50),SE(CSE1005) CAT2 (50),SE(CSE1005) FAT (60),SE(CSE1005) Grade,DBMS(CSE2007) CAT1 (50),DBMS(CSE2007) CAT2 (50),DBMS(CSE2007) FAT (60),DBMS(CSE2007) Lab (40),DBMS(CSE2007) Total (200),DBMS(CSE2007) Grade,TBL(MGT1027) FAT (60),TBL(MGT1027) Lab (40),TBL(MGT1027) Grade,WT(CSE4004) CAT1 (50),WT(CSE4004) CAT2 (50),WT(CSE4004) Total (160),WT(CSE4004) Grade,CP(CSE3032) CAT1 (50),CP(CSE3032) CAT2 (50),CP(CSE3032) FAT (60),CP(CSE3032) Grade,OT(MAT2003) CAT1 (50),OT(MAT2003) CAT2 (50),OT(MAT2003) FAT (60),OT(MAT2003) Total (160),OT(MAT2003) Grade,NP(CSE3011) CAT1 (50),NP(CSE3011) CAT2 (50),NP(CSE3011) FAT (60),NP(CSE3011) Total (160),NP(CSE3011) Grade,MAD(CSE4002) CAT1 (50),MAD(CSE4002) CAT2 (50),MAD(CSE4002) Lab (40),MAD(CSE4002) Total (200),C(ONL1002) FAT (60),C(ONL1002) Lab (40),C(ONL1002) Grade,AFE(MGT1008) CAT1 (50),AFE(MGT1008) CAT2 (50),AFE(MGT1008) Total (160),AFE(MGT1008) Grade,STAT(MAT1001) ESTAT (70),STAT(MAT1001) ISTAT (30),STAT(MAT1001) FAT (60),STAT(MAT1001) Total (160),STAT(MAT1001) Grade, Sem-VI Total (940),NLP(CSE3015) CAT1 (50),NLP(CSE3015) CAT2 (50),NLP(CSE3015) Total (160),NLP(CSE3015) Grade,IML(CSE3008) CAT1 (50),IML(CSE3008) CAT2 (50),IML(CSE3008) FAT (60),OPTO(PHY2004) CAT1 (50),OPTO(PHY2004) CAT2 (50),OPTO(PHY2004) FAT (60),OPTO(PHY2004) Lab (40),OPTO(PHY2004) Total (200),OPTO(PHY2004) Grade,NANO(PHY2005) FAT (60),NANO(PHY2005) Lab (40),NANO(PHY2005) Grade,FRENCH-I(FRL1001) FAT (60),FRENCH-I(FRL1001) Lab (40),FRENCH-I(FRL1001) Total (100),FRENCH-I(FRL1001) Grade,LA(MAT2005) CAT1 (50),LA(MAT2005) CAT2 (50),LA(MAT2005) Total (100),LA(MAT2005) Grade,EVS(CHY1001) CAT1 (50),EVS(CHY1001) CAT2 (50),EVS(CHY1001) FAT (60),EVS(CHY1001) Total (160),EVS(CHY1001) Grade,NME(MAT2001) CAT1 (50),NME(MAT2001) CAT2 (50),NME(MAT2001) FAT (60),NME(MAT2001) Total (160),NME(MAT2001) Grade,ITC(CSE2013) CAT1 (50),ITC(CSE2013) CAT2 (50),ITC(CSE2013) FAT (60),ITC(CSE2013) Lab (40),ITC(CSE2013) Total (200),ITC(CSE2013) Grade,COA(ECE2002) FAT (60),COA(ECE2002) Lab (40),COA(ECE2002) Grade,SNA(CSE4008)  CAT1 (50),SNA(CSE4008) CAT2 (50),SNA(CSE4008) FAT (60),SNA(CSE4008) Total (160),SNA(CSE4008) Grade,FOM(MGT1003) CAT1 (50),FOM(MGT1003) CAT2 (50)
O38,28,26,23,4,35,25,20,32,20,18,26,96,4,43,21,19,38,121,28,17,21,66,4,21,39,6,28,25,23,4,28,22,20,3,41,19,20,39,119,39,17,19,36,111,25,20,19,67,4,21,37,5,42,29,24,42,137,5,40,26,22,5,28,29,24,35,116,4,22,32,5,33,26,81,4,36,26,22,4,40,29,24,93,5,41,29,24,94,5,45,26,40,132,24,43,6,33,28,84,4,39,28,24,91,5,660,43,29,96,5,51,26,23,37,28,23,45,133,5,23,46,6,22,46,68,6,35,29,64,4,34,26,21,81,4,70,28,23,121,6,70,28,23,46,167,6,23,48,6,67,28,23,118,6,47,28
W63,65,29,25,6,58,20,22,52,27,22,39,140,6,48,27,23,34,132,46,21,21,88,5,22,40,6,56,30,25,6,36,25,23,4,50,25,21,40,136,48,24,22,40,134,48,28,24,100,6,19,36,5,41,28,23,47,139,5,44,26,22,5,37,26,23,41,127,5,21,42,6,43,29,96,5,31,28,24,4,51,28,24,103,6,47,27,22,96,5,43,26,46,138,21,42,6,37,24,81,4,43,28,23,94,5,668,45,24,88,5,48,26,24,28,24,22,39,113,4,22,42,6,22,40,60,6,55,25,80,6,40,28,24,92,5,68,28,23,119,6,70,27,22,41,160,6,22,43,6,70,24,22,116,6,63,24
O3,24,27,24,4,46,26,22,31,24,20,30,105,4,43,26,22,45,136,35,17,22,74,3,22,42,6,35,30,24,5,33,24,21,4,50,26,23,47,146,30,25,24,48,127,28,23,23,74,3,23,45,6,47,29,24,35,135,5,28,28,23,4,36,23,22,41,122,4,24,40,6,34,28,85,4,40,28,23,5,28,28,23,79,4,47,25,21,93,5,37,29,49,139,24,45,6,31,28,82,4,30,28,24,82,4,637,30,29,83,4,38,28,24,40,24,20,48,132,5,24,44,6,24,47,71,6,35,29,64,4,33,28,23,84,4,63,28,23,114,6,68,28,23,48,167,6,24,48,6,67,29,23,119,6,70,28
W129,47,26,22,5,40,26,20,34,25,21,42,122,4,55,28,22,33,138,46,29,24,99,5,24,45,6,53,27,24,6,42,29,24,5,53,28,24,35,140,41,28,22,44,135,47,28,24,99,5,24,47,6,50,25,24,49,148,6,45,29,23,5,43,29,24,48,144,6,22,43,6,53,28,103,6,42,28,24,5,51,29,25,105,6,48,29,24,101,6,55,26,44,147,23,44,6,35,27,86,4,45,27,23,95,5,693,45,29,98,5,51,27,24,50,29,24,41,144,6,23,45,6,23,49,69,6,56,22,78,5,37,27,22,86,4,70,29,24,123,6,68,29,24,47,168,6,22,42,6,70,25,22,117,6,70,28
O84,13,20,23,1,22,25,21,28,19,19,25,91,4,35,22,20,38,115,34,17,23,74,3,20,40,6,20,20,20,1,28,18,18,4,34,19,15,38,106,33,18,19,37,107,28,15,21,64,4,20,28,4,41,27,22,37,127,5,31,25,21,4,28,16,18,38,100,3,15,32,4,28,25,74,3,31,25,21,4,28,28,23,79,4,38,25,21,84,4,35,21,35,108,23,42,6,33,28,84,4,27,28,24,80,4,584,28,26,76,4,34,27,23,37,26,22,44,129,5,21,40,6,23,48,71,6,37,29,66,4,38,26,21,85,4,56,29,24,109,6,70,29,24,47,170,6,24,46,6,56,29,24,109,6,70,29
O48,58,29,24,6,59,29,24,42,29,24,48,143,6,54,29,24,48,155,53,29,24,106,6,24,48,6,63,29,24,6,50,30,24,6,55,29,24,49,157,46,29,24,49,148,39,30,24,93,5,24,46,6,58,29,24,42,153,6,39,29,24,5,31,26,24,46,127,5,24,49,6,43,29,96,5,36,29,24,5,36,29,24,89,5,43,29,24,96,5,45,29,49,147,24,45,6,40,29,93,5,30,29,24,83,4,675,33,29,86,4,37,29,24,36,26,22,47,131,5,23,45,6,24,46,70,6,31,26,57,3,43,29,24,96,5,70,29,24,123,6,70,29,24,49,172,6,24,48,6,70,29,24,123,6,58,29
W71,19,20,22,1,34,26,18,30,25,21,33,109,4,42,29,24,38,133,34,25,22,81,4,22,41,6,45,25,25,5,43,28,24,5,52,28,24,37,141,45,28,24,46,143,41,27,23,91,5,24,47,6,49,26,24,45,144,6,42,26,23,5,43,28,24,43,138,5,22,42,6,49,27,96,5,47,26,22,5,37,28,24,89,5,39,29,24,92,5,46,27,38,133,22,43,6,36,17,72,3,28,25,22,75,4,614,31,26,79,4,36,26,23,46,26,24,42,138,5,23,45,6,23,47,70,6,39,22,61,4,30,27,22,79,4,70,26,22,118,6,70,23,22,45,160,6,23,44,6,70,27,23,120,6,70,25
O51,37,29,24,5,42,27,23,44,23,21,42,130,5,51,28,23,44,146,38,28,24,90,5,22,36,5,48,29,24,6,45,22,21,5,43,28,23,42,136,35,29,24,38,126,48,18,22,88,5,23,36,5,39,29,24,33,125,5,35,26,22,4,37,25,21,36,119,4,20,30,5,40,29,93,5,36,29,24,5,30,29,24,83,4,28,28,23,79,4,52,28,35,138,24,44,6,33,29,86,4,30,28,23,81,4,636,39,25,85,4,52,28,24,45,28,23,43,139,5,23,44,6,23,47,70,6,49,28,77,5,33,26,22,81,4,61,28,24,113,6,67,29,24,49,169,6,24,46,6,70,29,24,123,6,51,28
W65,45,28,24,5,41,26,19,30,24,21,40,115,4,48,28,24,45,145,41,26,23,90,5,24,48,6,47,29,25,6,34,27,24,4,27,24,20,23,97,43,28,23,45,139,30,24,21,75,4,22,41,6,40,25,24,47,136,5,28,26,23,4,31,27,24,48,130,5,21,37,5,23,25,72,3,42,27,22,5,31,27,23,81,4,37,27,23,87,4,33,24,40,118,23,46,6,28,17,59,2,29,24,22,75,4,578,29,18,62,2,33,22,18,29,23,23,38,113,4,19,30,4,22,42,60,6,33,25,58,3,28,24,20,72,3,65,24,20,109,6,70,25,22,41,158,6,23,44,6,70,22,21,113,6,70,25
W45,24,24,25,4,44,23,23,52,24,22,40,138,5,43,28,23,36,130,44,24,22,90,5,21,40,6,33,28,24,4,32,27,24,4,50,27,23,44,144,46,26,22,33,127,48,28,24,100,6,23,38,6,44,26,23,48,141,6,58,27,23,6,46,26,22,41,135,5,23,43,6,45,26,93,5,32,27,23,4,47,27,23,97,5,54,28,22,104,6,52,26,44,145,21,40,6,37,25,82,4,41,28,24,93,5,678,49,25,93,5,47,26,24,49,25,22,42,138,5,22,44,6,23,42,59,5,49,25,74,5,35,29,24,88,5,67,28,23,118,6,70,28,24,42,164,6,23,44,6,70,26,23,119,6,70,26
O22,48,29,24,6,31,23,21,38,20,18,38,114,4,46,22,23,39,130,30,19,18,67,4,24,38,6,30,25,19,3,29,26,19,3,41,25,21,39,126,37,29,24,40,130,29,17,17,63,4,22,30,4,43,29,24,35,131,5,29,25,21,4,35,23,22,34,114,4,22,40,6,36,29,89,5,31,29,24,4,28,26,22,76,4,29,28,23,80,4,31,28,48,130,22,44,6,34,28,85,4,30,28,23,81,4,605,37,26,85,4,31,27,23,33,26,22,47,128,5,22,44,6,22,46,68,6,28,26,54,4,34,28,23,85,4,70,27,22,119,6,70,27,22,46,165,6,22,44,6,70,27,23,120,6,53,27
W41,43,27,24,5,49,27,23,40,25,24,43,132,5,44,29,24,44,141,40,27,24,91,5,24,46,6,58,30,25,6,42,29,24,5,41,29,24,47,141,42,26,23,44,135,39,28,24,91,5,23,45,6,28,27,23,47,125,5,42,27,23,5,40,29,24,44,137,5,23,47,6,34,27,83,4,41,29,24,5,31,28,24,83,4,40,29,24,93,5,39,27,46,135,24,48,6,37,29,90,5,33,28,24,85,4,647,33,29,86,4,36,26,23,44,26,24,45,139,5,23,44,6,20,35,71,6,48,27,75,5,34,29,24,87,4,70,28,24,122,6,70,29,24,48,171,6,23,45,6,70,27,24,121,6,70,25
W124,67,30,24,6,55,24,23,44,25,24,42,135,5,51,29,24,46,150,49,28,24,101,6,24,46,6,50,27,24,6,51,28,23,6,50,29,22,47,148,58,24,22,49,153,51,29,23,103,6,24,46,6,48,24,23,41,136,5,49,25,21,5,53,25,22,38,138,5,23,40,6,37,21,75,4,41,28,23,5,40,20,20,80,4,42,26,22,90,5,50,25,47,144,21,42,6,33,24,77,4,44,28,24,96,5,649,37,21,77,4,51,20,18,49,21,19,38,127,5,18,39,5,23,42,63,6,36,23,59,3,41,22,21,84,4,70,28,24,122,6,70,28,24,44,166,6,20,45,6,70,25,23,118,6,70,24
W24,34,19,22,4,39,24,20,40,25,20,38,123,5,44,22,24,38,128,45,23,21,89,5,23,46,6,44,25,20,5,32,25,23,4,39,24,20,32,115,38,27,21,42,128,43,27,23,93,5,22,46,6,53,22,21,46,142,6,37,27,23,4,47,27,24,44,142,6,22,42,6,37,24,81,4,42,22,21,4,47,24,24,95,5,59,29,22,110,6,44,25,43,134,22,42,6,31,20,72,3,45,22,19,86,4,659,46,26,94,5,37,27,24,41,29,24,40,134,5,20,38,5,24,47,71,6,47,23,70,5,36,29,23,88,5,54,28,23,105,6,70,24,22,43,159,6,22,44,6,70,27,23,120,6,70,28
O46,43,24,24,5,38,23,21,29,23,18,30,100,3,33,24,22,44,123,36,20,21,77,4,21,39,6,28,30,24,4,28,20,21,3,40,25,20,42,127,30,19,21,42,112,15,19,22,56,1,22,37,5,29,29,24,32,114,4,32,26,22,4,28,27,23,42,120,4,22,37,6,30,25,76,4,36,25,21,4,24,26,22,76,4,28,29,24,81,4,34,29,44,131,24,37,6,28,29,81,4,28,29,24,81,4,603,28,28,79,4,30,27,23,32,28,23,44,127,5,22,42,6,23,46,69,6,37,29,66,4,40,29,24,93,5,70,29,24,123,6,70,29,24,48,171,6,24,48,6,65,29,23,117,6,51,29
O65,28,30,24,4,28,29,23,39,21,21,30,111,4,45,23,22,45,135,40,29,24,93,5,24,38,6,35,30,24,5,28,18,21,4,50,21,20,42,133,39,23,22,44,128,45,18,19,82,4,22,38,6,44,27,22,39,132,5,29,25,21,4,20,29,24,40,113,1,22,35,6,47,25,93,5,32,25,21,4,39,29,24,92,5,50,26,22,98,5,39,28,43,133,22,43,6,37,28,88,5,44,29,24,97,5,664,45,29,98,5,44,28,24,43,28,23,47,141,6,23,40,6,24,44,68,6,41,24,65,4,41,27,22,90,5,70,29,24,123,6,70,29,24,48,171,6,24,46,6,68,29,24,121,6,67,29
W82,55,30,24,6,42,18,19,39,24,22,33,118,4,37,28,23,33,121,48,21,20,89,5,21,38,5,62,28,21,6,28,22,20,3,44,22,18,32,116,43,25,22,28,118,41,28,23,92,5,20,37,5,42,27,23,48,140,6,42,24,23,5,33,26,20,38,117,4,22,41,6,34,23,76,4,43,25,21,5,44,28,24,96,5,45,28,23,96,5,50,25,41,138,21,44,6,47,26,94,5,32,26,23,81,4,661,41,26,87,4,43,25,22,49,23,23,45,140,6,22,44,6,24,47,63,6,50,20,70,5,49,24,22,95,5,70,24,22,116,6,70,28,24,47,169,6,21,45,6,70,24,22,116,6,70,25
W40,33,21,20,3,45,27,17,35,24,22,36,117,4,40,29,24,36,129,44,25,19,88,5,23,40,6,52,24,23,5,40,29,24,5,43,21,20,44,128,44,26,22,43,135,40,26,23,89,5,23,37,6,48,24,24,46,142,6,38,28,23,5,42,28,24,45,139,5,22,42,6,48,27,98,5,54,24,21,5,37,24,24,85,4,38,25,22,85,4,49,26,44,141,21,40,6,41,22,82,4,39,25,22,86,4,637,40,26,88,5,55,25,22,39,27,23,38,127,5,22,35,5,24,47,67,6,50,20,70,5,54,24,22,100,6,70,28,23,121,6,67,27,23,39,156,6,21,41,6,70,26,23,119,6,70,27
O68,23,28,24,4,41,25,22,40,26,18,22,106,4,42,23,22,43,130,41,26,24,91,5,21,41,6,31,28,24,4,33,22,23,4,38,21,21,37,117,46,22,23,42,133,47,18,20,85,4,22,38,6,51,28,23,34,136,5,32,29,24,4,37,29,24,40,130,5,23,32,5,37,25,83,4,41,25,21,4,43,28,23,94,5,47,25,21,93,5,44,18,35,112,21,37,5,42,27,91,5,37,29,24,90,5,634,42,25,88,5,43,28,23,47,25,21,43,136,5,21,44,6,22,47,69,6,36,26,62,4,40,26,21,87,4,70,29,24,123,6,70,29,24,48,171,6,23,44,6,70,29,24,123,6,70,29
W48,28,20,24,3,17,19,18,36,18,21,29,104,3,29,27,23,33,112,28,26,24,78,4,20,36,5,35,28,23,4,19,28,23,1,37,22,18,34,111,35,21,20,25,101,12,29,22,63,1,16,31,4,39,26,21,39,125,5,28,23,21,3,21,22,22,39,111,4,22,40,6,31,25,77,4,40,29,24,5,31,22,23,76,4,36,28,22,86,4,46,24,40,132,21,34,5,29,24,73,3,36,25,22,83,4,592,43,23,84,4,37,26,22,34,22,24,38,118,4,20,35,5,23,45,63,6,42,19,61,4,46,22,20,88,5,70,28,22,120,6,67,27,23,42,159,6,19,41,5,65,24,21,110,6,70,26
W95,36,22,24,4,31,23,19,38,24,21,43,126,5,51,23,24,36,134,40,21,20,81,4,21,44,6,38,21,24,4,28,27,24,4,46,22,19,38,125,39,26,23,40,128,35,27,23,85,4,21,42,6,41,22,24,44,131,5,28,27,24,4,38,24,23,44,129,5,22,42,6,32,23,74,3,36,26,22,4,35,23,24,82,4,42,28,24,94,5,41,27,38,129,23,43,6,39,17,74,3,30,25,20,75,4,619,31,26,79,4,48,26,23,47,27,24,40,138,5,22,38,6,23,48,59,5,49,21,70,5,50,28,22,100,6,61,28,23,112,6,70,25,24,48,167,6,22,41,6,70,25,23,118,6,70,28
O49,8,20,21,1,31,23,20,45,25,19,38,127,5,38,18,18,38,112,33,22,21,76,4,22,39,6,18,27,24,1,32,16,17,4,35,22,13,35,105,32,16,17,36,101,36,20,19,75,4,21,30,4,45,27,22,39,133,5,25,26,22,4,28,29,24,39,120,4,22,38,6,48,28,99,5,36,28,23,4,37,29,24,90,5,46,26,22,94,5,45,24,45,134,23,33,5,36,28,88,5,40,29,24,93,5,644,45,28,96,5,50,27,23,44,28,23,45,140,6,20,42,6,21,47,68,6,40,29,69,4,42,28,23,93,5,70,29,23,122,6,70,27,23,48,168,6,24,48,6,67,28,24,119,6,51,29
W44,43,25,22,5,32,17,21,29,18,17,29,93,4,28,26,21,35,110,23,23,21,72,3,17,25,3,43,25,20,5,12,19,18,1,28,20,19,28,95,30,20,18,30,98,23,27,23,73,1,18,24,3,31,23,20,22,96,4,28,22,21,3,20,24,20,40,104,1,21,38,6,18,17,48,1,30,24,21,4,20,22,21,63,1,31,23,18,72,3,28,24,25,99,19,39,5,29,20,65,4,24,23,22,69,1,504,29,20,66,4,28,21,22,32,21,20,32,105,4,18,35,5,23,45,60,6,13,24,37,1,24,18,20,62,1,70,25,22,117,6,70,25,21,38,154,6,18,39,5,60,23,21,104,6,65,23
O13,54,29,24,6,61,28,24,40,28,24,46,138,5,50,29,24,46,149,44,29,24,97,5,23,46,6,51,29,24,6,51,23,24,5,60,29,24,48,161,34,29,24,47,134,35,30,24,89,5,23,40,6,38,29,24,38,129,5,39,27,23,5,36,27,24,42,129,5,23,45,6,38,29,91,5,35,29,24,5,40,29,24,93,5,48,28,23,99,5,37,29,48,138,23,45,6,35,28,86,4,35,28,23,86,4,669,37,28,88,5,39,29,24,46,26,22,45,139,5,23,46,6,23,49,72,6,42,26,68,4,37,29,24,90,5,70,29,24,123,6,70,28,24,49,171,6,24,45,6,70,28,24,122,6,70,29
O94,50,29,24,6,48,27,23,34,29,22,44,129,5,46,27,23,46,142,37,23,22,82,4,23,35,5,51,26,23,6,43,25,21,5,42,29,24,44,139,47,29,24,48,148,38,30,23,91,5,24,46,6,33,29,24,34,120,4,50,29,24,6,34,25,21,44,124,5,23,47,6,32,28,83,4,50,28,23,6,37,26,19,82,4,29,22,18,69,3,40,29,49,142,23,47,6,36,22,76,4,28,27,18,73,3,604,38,29,91,5,50,29,24,31,26,22,46,125,5,22,48,6,24,46,70,6,28,27,55,3,37,29,24,90,5,70,29,24,123,6,70,29,24,48,171,6,24,49,6,70,29,24,123,6,70,29
W4,57,29,24,6,41,19,21,48,22,22,38,130,5,37,27,23,42,129,36,25,21,82,4,22,44,6,52,27,20,5,30,24,22,4,44,27,22,46,139,46,26,22,46,140,51,28,22,101,6,20,39,5,51,23,21,45,140,6,34,25,20,4,46,26,22,43,137,5,22,41,6,39,24,83,4,41,27,22,5,31,22,21,74,3,42,27,23,92,5,43,25,42,132,21,43,6,37,24,81,4,36,25,22,83,4,623,44,24,87,4,49,22,22,57,23,20,38,138,5,18,37,5,22,47,68,6,44,17,61,4,52,25,21,98,5,70,26,23,119,6,70,26,22,40,158,6,21,42,6,70,23,21,114,6,70,24
W106,56,28,24,6,66,29,24,37,29,24,47,137,5,45,29,24,47,145,49,28,24,101,6,24,49,6,61,27,22,6,56,29,24,6,41,28,24,45,138,50,29,24,48,151,52,29,24,105,6,24,48,6,54,29,24,49,156,6,39,29,24,5,51,29,24,49,153,6,24,49,6,45,26,93,5,47,29,24,6,45,28,24,97,5,42,29,24,95,5,45,29,49,147,24,49,6,43,25,90,5,49,28,24,101,6,711,41,29,94,5,57,29,24,56,29,24,48,157,6,24,49,6,23,47,72,6,54,27,81,6,37,29,24,90,5,70,29,24,123,6,70,28,24,49,171,6,24,48,6,70,27,24,121,6,70,28
W54,61,30,25,6,65,27,24,60,29,23,45,157,6,56,28,24,49,157,59,28,23,110,6,24,46,6,46,29,24,5,45,29,24,5,50,29,24,48,151,60,29,24,49,162,52,27,24,103,6,24,46,6,36,29,24,49,138,5,33,27,23,4,40,29,24,47,140,6,24,47,6,36,29,89,5,39,29,23,5,RR,28,24,RR,1,49,29,24,102,6,38,28,46,136,20,40,6,23,24,68,1,30,28,24,82,4,536,44,25,90,5,37,28,24,45,27,24,45,141,6,23,45,6,23,45,63,6,54,27,81,6,41,23,20,84,4,70,26,22,118,6,56,24,21,41,142,6,21,43,6,58,26,24,108,6,60,22
O1,20,26,24,1,40,25,22,30,22,19,40,111,4,36,23,22,40,121,42,23,24,89,5,21,38,5,41,24,22,4,44,18,17,4,41,20,16,45,122,31,22,19,41,113,40,20,24,84,4,20,45,6,45,26,21,39,131,5,36,26,22,4,39,18,18,45,120,4,22,40,6,41,28,92,5,27,28,23,4,28,28,23,79,4,40,26,22,88,5,39,28,47,137,22,42,6,35,26,82,4,33,25,24,82,4,621,38,29,91,5,34,27,23,38,28,23,45,134,5,22,46,6,24,47,71,6,33,29,62,4,31,28,23,82,4,70,28,23,121,6,61,28,23,47,159,6,23,46,6,61,28,23,112,6,70,28
O85,19,27,23,1,31,19,19,28,15,15,28,86,2,34,19,18,30,101,31,15,15,61,2,24,40,6,29,22,18,3,20,13,16,1,28,22,18,32,100,30,14,11,21,76,20,14,13,47,1,15,28,3,28,24,20,43,115,4,22,22,18,1,20,23,22,42,107,1,20,30,5,29,23,71,3,17,23,19,1,28,22,20,70,3,29,22,18,69,3,35,16,15,84,15,26,3,37,22,77,4,29,22,18,69,3,493,36,28,87,4,45,25,22,36,26,22,39,123,5,23,42,6,23,48,71,6,34,26,60,4,29,25,21,75,4,70,28,22,120,6,70,28,22,46,166,6,20,46,6,70,28,22,120,6,51,28
O52,21,29,24,1,40,23,21,19,20,17,30,86,1,37,23,21,27,108,34,24,24,82,4,20,34,5,37,27,23,4,36,20,16,3,38,24,20,37,119,28,14,11,29,82,16,18,20,54,1,21,40,6,28,27,22,16,93,1,18,24,20,1,11,20,18,18,67,1,20,32,5,23,26,71,1,17,26,22,1,28,25,21,74,3,28,28,23,79,4,33,24,35,112,18,35,5,29,27,78,4,28,28,23,79,4,553,33,25,79,4,41,27,23,41,26,22,42,131,5,21,41,6,23,48,71,6,45,26,71,5,40,26,22,88,5,70,29,24,123,6,70,29,24,47,170,6,23,42,6,56,29,24,109,6,70,29
O90,29,29,23,4,47,26,22,35,26,20,32,113,4,32,23,22,44,121,45,28,24,97,5,22,47,6,41,29,24,5,43,21,20,4,37,22,17,38,114,44,23,24,47,138,39,19,21,79,4,24,42,6,45,29,24,41,139,5,40,29,24,5,47,29,24,38,138,5,19,48,6,42,25,88,5,24,25,21,3,35,29,24,88,5,42,29,24,95,5,49,27,43,141,24,43,6,35,29,88,5,28,26,24,78,4,647,42,28,93,5,37,27,23,45,28,23,46,142,6,21,43,6,22,46,68,6,47,29,76,5,46,28,23,97,5,70,29,24,123,6,58,29,24,47,158,6,24,46,6,70,28,24,122,6,51,29
W50,21,20,22,1,23,23,17,31,22,19,35,107,4,28,25,20,26,99,36,22,20,78,4,19,39,5,29,18,20,4,28,25,23,4,45,22,20,24,111,34,24,21,43,122,37,26,22,85,4,19,32,4,40,21,23,41,125,5,28,25,22,4,28,24,24,37,113,4,21,40,6,28,24,72,3,36,20,21,4,29,23,23,75,4,31,27,23,81,4,29,24,42,116,22,39,6,39,16,71,3,30,21,19,70,3,563,34,24,78,4,39,23,22,39,25,20,28,112,4,19,32,4,21,35,64,6,36,17,53,4,47,20,20,87,4,70,25,21,116,6,70,21,18,38,147,6,21,40,6,70,21,20,111,6,70,27
O31,47,29,24,6,44,27,24,32,28,23,35,118,4,51,29,24,47,151,40,29,24,93,5,23,45,6,63,29,24,6,30,21,18,3,45,29,24,44,142,49,27,22,42,140,35,20,16,71,3,23,40,6,33,29,24,32,118,4,35,28,23,4,32,24,23,36,115,4,22,42,6,38,29,91,5,28,29,24,4,34,29,24,87,4,45,29,24,98,5,39,29,47,139,22,45,6,38,29,91,5,36,29,24,89,5,662,28,29,81,4,32,29,24,34,26,22,48,130,5,23,46,6,23,47,70,6,31,26,57,3,41,29,24,94,5,70,29,24,123,6,70,29,24,49,172,6,24,48,6,70,29,24,123,6,70,29
W81,31,19,22,3,35,25,19,45,24,20,44,133,5,34,23,19,34,110,54,20,18,92,5,23,43,6,34,23,25,4,40,24,24,5,44,28,24,21,117,51,27,22,43,143,51,27,23,101,6,23,45,6,39,21,24,44,128,5,30,27,22,4,45,24,24,44,137,5,21,41,6,40,24,83,4,31,22,22,4,30,23,23,76,4,38,22,20,80,4,37,24,42,123,22,44,6,37,16,71,3,42,25,21,88,5,602,40,26,88,5,39,23,22,50,25,23,34,132,5,20,32,4,22,41,56,5,32,21,53,4,48,26,23,97,5,68,28,23,119,6,70,23,20,40,153,6,22,42,6,68,22,21,111,6,70,26
W35,36,17,20,3,35,17,18,31,19,22,41,113,4,47,20,19,35,121,22,25,23,76,4,22,42,6,39,22,16,4,31,20,18,3,25,24,19,38,109,32,21,20,25,98,28,29,23,80,4,18,42,6,42,25,22,43,132,5,28,24,21,3,41,26,20,40,127,5,23,42,6,28,22,67,4,42,28,24,5,20,22,20,62,1,33,25,20,78,4,24,22,38,104,21,42,6,32,20,70,3,28,23,22,73,3,537,31,19,67,4,30,20,19,28,21,21,38,108,4,20,38,5,22,45,66,6,44,22,66,4,40,18,19,77,4,70,26,21,117,6,70,26,22,40,158,6,20,39,5,70,23,21,114,6,70,25
